city_or_county,n_killed,n_injured
Dumas,5,2
Dumas (Pendleton),0,3
Dumfries,2,9
Dummerston,0,0
Dunbar,5,12
Dunbarton,1,2
Duncan,8,4
Duncannon,3,2
Duncannon (Watts),0,0
Duncansville,0,1
Duncanville,4,4
Dundalk,5,25
Dundee,2,0
Dundee (East Dundee),0,0
Dundee (West Dundee),0,1
Dundee Township,1,0
Dunedin,1,1
Dunellen,0,2
Dungannon,0,1
Dunkerton,1,0
Dunkirk,3,1
Dunklin,0,1
Dunklin County,1,0
Dunlap,3,2
Dunmor,2,0
Dunn,3,0
Dunnellon,4,2
Dunnellon (Citrus Springs),0,0
Dunseith,0,1
Dunsmuir,1,0
Dunstable,0,0
Dunwoody,0,0
Duplin,1,0
Duplin County,1,1
Dupo,0,2
Dupont,0,0
Dupree,0,0
Duquesne,4,18
Durango,4,1
Durant,4,7
Durant (Silo),0,0
Durham,133,391
Duryea,0,0
Dushore,0,1
Dushore (Wilmot Township),2,0
Duson,3,1
Duvall,0,1
Duxbury,1,3
Dwight,3,1
Dyer,2,4
Dyer County,0,1
Dyersburg,2,30
Eads,0,0
Eagan,1,2
Eagar,2,2
Eagle,0,1
Eagle Bridge (White Creek),0,0
Eagle Butte,2,1
Eagle County,0,0
Eagle Creek,2,4
Eagle Grove,0,2
Eagle Mountain,2,1
Eagle Pass,0,0
Eagle Point,1,0
Eagle River,4,6
Eagle Springs,1,0
Eagleville,2,0
Earl Township,0,0
Earle,1,0
Earlimart,2,4
Earlington,0,2
Earlville,0,0
Early,0,1
Earlysville,0,1
Easley,19,15
Easley (Powdersville),0,0
East Alton,0,0
East Amherst,0,0
East Arlington,0,2
East Aurora,0,0
East Bangor,0,0
East Bank (Crown Hill),0,0
East Bend,0,0
East Bernstadt,3,4
East Bethany,0,0
East Brady,0,0
East Bridgewater,0,1
East Brookfield,0,0
East Brunswick,0,0
East Canton,2,0
East Carondelet,0,0
East Chicago,27,57
East Cleveland,3,1
East Donegal Township,0,0
East Dublin,2,1
East Earl,0,1
East Elmhurst,0,0
East Falmouth,1,1
East Feliciana,0,1
East Feliciana Parish,0,1
East Fishkill,0,1
East Flat Rock,1,0
East Freedom,0,0
East Granby,0,0
East Grand Forks,0,0
East Greenbush,0,0
East Greenwich,0,0
East Hampton,0,0
East Hanover,0,0
East Hartford,3,6
East Haven,2,1
East Helena,0,0
East Islip,0,0
East Kingston,0,0
East Lampeter,0,2
East Lansing,3,3
East Liberty,0,1
East Liverpool,0,5
East Longmeadow,0,1
East Los Angeles,1,0
East Lyme,0,0
East Meadow,0,0
East Millcreek,2,0
East Moline,2,6
East Moriches,0,1
East Naples,1,0
East Norriton,0,1
East Orange,20,16
East Palatka,3,1
East Palo Alto,3,5
East Pennsboro,0,0
East Peoria,4,2
East Pittsburgh,0,2
East Point,2,3
East Prairie,0,0
East Price Hill,0,2
East Providence,1,1
East Quogue,0,0
East Ridge,1,0
East Rockaway,0,0
East Rutherford,0,0
East Saint Louis,71,44
East Saint Louis (Alorton),0,1
East Saint Louis (Cahokia),9,8
East Saint Louis (Centreville),3,2
East Saint Louis (East St Louis),1,1
East Saint Louis (Fairmont City),1,0
East Saint Louis (Sauget),2,2
East Saint Louis (Washingtn Park),2,0
East Saint Louis (Washington Pk),3,0
East Setauket,0,1
East Sparta,0,1
East Spencer,0,1
East Springfield,1,0
East St. Louis,14,8
East Stroudsburg,3,5
East Syracuse,0,1
East Taunton,1,0
East Troy,2,0
East Wallingford,0,0
East Wareham,0,0
East Wenatchee,1,0
East Windsor,0,3
Eastaboga,1,0
Eastbrook,0,0
Eastford,0,0
Eastham,0,1
Easthampton,0,0
Easthampton (Westhampton),0,0
Eastlake,2,1
Eastlake (Willowick),0,0
Eastland,1,0
Eastman,2,1
Easton,11,27
Easton (Forks Township),0,1
Easton (Palmer Township),0,1
Easton (Palmer),1,0
Easton (Williams Township),0,1
Eastover,3,4
Eastpoint,0,0
Eastpointe,3,9
Eastvale,0,1
Eastview,0,2
Eaton,7,1
Eaton (Niles),0,1
Eaton Rapids,2,0
Eatonton,7,6
Eatontown,1,1
Eatonville,4,2
Eau Claire,8,6
Eau Claire County,0,1
Ebensburg,0,0
Ebro,0,0
Eclectic,4,1
Ecorse,3,4
Ecru,0,1
Ector,0,1
Ector County,3,2
Edcouch,3,0
Eddington,0,1
Eddy,0,3
Eddy County,0,0
Eddyville,2,3
Eden,10,20
Eden Prairie,2,2
Edenton,2,12
Edgar,1,0
Edgard,0,6
Edgecomb,0,0
Edgecombe,2,2
Edgefield,4,2
Edgefield County,2,0
Edgeley,1,0
Edgemoor,0,0
Edgerton,4,2
Edgewater,12,5
Edgewood,11,19
Edina,0,0
Edinboro,2,3
Edinburg,10,10
Edison,0,5
Edisto Island,0,2
Edisto Island (Edisto Beach),0,1
Edmond,8,16
Edmonds,3,2
Edmonson County,0,0
Edmonton,4,1
Edna,1,0
Edson,0,1
Edwards,2,3
Edwards (North Edwards),0,1
Edwardsburg,0,0
Edwardsville,1,4
Eek,1,0
Effingham,2,3
Effingham (Park Hills),0,0
Effingham County,1,0
Effort,1,1
Efland,1,2
Egegik,0,0
Egg Harbor,0,0
Egg Harbor City,1,10
Egg Harbor City (Egg Harbor),0,0
Egg Harbor Township,3,4
Eggleston,0,1
Eglin Afb,0,0
Ehrenberg,0,0
Ehrhardt,0,1
Eidson,1,0
Eight Mile,1,1
Eight Mile (Prichard),1,0
Ekalaka,2,0
Ekuk,1,0
Ekwok,0,0
El Cajon,11,9
El Centro,5,6
El Cerrito,4,11
El Dorado,20,9
El Dorado (Nashville),0,1
El Dorado County,0,1
El Dorado Hills,1,0
El Dorado Springs,3,1
El Indio,1,0
El Jebel,2,0
El Mirage,2,5
El Monte,21,16
El Paso,73,95
El Paso (Horizon City),0,0
El Paso (Socorro),2,0
El Paso County,3,4
El Portal,1,0
El Prado,0,0
El Reno,0,1
El Rio,0,0
El Segundo,3,3
El Sobrante,2,3
Elba,1,0
Elbert,0,1
Elberta,1,1
Elberton,5,3
Elbridge,1,0
Elburn,0,0
Elderon,0,1
Eldersburg,0,0
Eldon,0,1
Eldorado,2,1
Eldred,1,0
Eldridge,0,1
Eleanor,0,1
Eleele,0,1
Elephant Butte,0,0
Eleva,0,0
Elfin Cove,0,0
Elgin,18,35
Elim,0,1
Eliot,0,0
Elizabeth,29,63
Elizabeth City,11,40
Elizabethton,3,10
Elizabethtown,16,14
Elizabethtown (White Lake),0,1
Elizaville,0,0
Elk,1,0
Elk City,1,0
Elk Creek,0,0
Elk Grove,7,12
Elk Grove Village,1,0
Elk River,0,0
Elkhart,34,60
Elkhart (Dunlap),0,0
Elkhart County,1,0
Elkhorn,3,1
Elkhorn City,1,1
Elkin,2,1
Elkins,3,3
Elkins Park,1,0
Elkland,0,1
Elkmont,0,0
Elko,6,5
Elko New Market,0,0
Elkridge,1,1
Elkton,5,9
Elkview,1,2
Ellabell,1,2
Ellenboro,0,1
Ellenburg,2,1
Ellendale,0,1
Ellensburg,1,0
Ellenton,0,3
Ellenville,3,1
Ellenwood,4,5
Ellerbe,4,0
Ellettsville,2,0
Ellicott City,6,3
Ellijay,3,0
Ellington,1,0
Ellinwood,0,0
Elliott,1,0
Elliott County,1,1
Elliottsburg,0,0
Ellis,0,2
Elliston,1,1
Ellisville,1,1
Elloree,1,3
Ellsworth,1,4
Ellsworth (Lamoine),0,0
Ellwood City,3,3
Elm Grove,1,0
Elm Mott,0,2
Elma,2,1
Elmendorf,3,4
Elmhurst,4,6
Elmira,8,26
Elmira (Elmira Heights),0,0
Elmo,1,0
Elmont,0,6
Elmore,4,5
Elmore City,0,1
Elmore County,0,0
Elmsford,0,1
Elmwood,0,1
Elmwood Park,1,0
Elmwood Place,2,1
Elon,2,1
Eloy,2,0
Elsa,1,0
Elsmere,2,2
Elverta,0,1
Elwood,0,2
Ely,2,1
Elyria,11,27
Elyria (Ridgeville),1,0
Elyria (Sheffield Village),1,0
Emerson,2,0
Emery,0,0
Emeryville,2,10
Emily,0,0
Emmalena,1,0
Emmaus,0,2
Emmet,2,0
Emmett,1,3
Emmett (Emmett Township),0,1
Emmett Township,0,1
Emmonak,0,1
Emmons,0,0
Emory,1,0
Empire,2,3
Emporia,7,4
Emporium,0,0
Encinitas,1,2
Encino,0,2
Enderlin,1,1
Endicott,0,2
Enfield,6,11
Engelhard,0,0
England,2,2
Engle,1,0
Englewood,13,19
Englewood (Greenwood Village),0,1
Englewood (Sheridan),1,0
Englewood (Union),0,1
Englewood Cliffs,0,0
English Turn,0,1
Enid,6,18
Enigma,0,0
Ennis,2,4
Enola,0,0
Enola (East Pennsboro),0,1
Enon,2,1
Enon Valley,0,1
Enoree,0,0
Ensley,2,3
Enterprise,9,17
Enumclaw,0,3
Enville,0,0
Ephrata,3,5
Epping,0,3
Epps,1,0
Epsom,0,0
Erath County,0,2
Erhard,0,0
Erie,30,93
Erin,0,0
Erlanger,0,6
Erlanger (Elsmere),1,0
Ernul,1,1
Eros,2,0
Erving,0,0
Erwin,5,7
Escambia,2,7
Escambia County,8,23
Escanaba,1,0
Escatawpa,1,1
Escondido,11,26
Eskdale,1,0
Esopus,0,0
Espanola,1,6
Espanola (Española),1,0
Espanola (Pajarito),0,0
Española,0,0
Esperance,0,0
Espy,0,2
Essex,6,13
Essex Junction,0,1
Essexville,1,4
Estacada,1,1
Estero,4,6
Estes Park,1,0
Estherville,1,0
Estherwood,0,1
Estill,5,7
Estill Springs,2,0
Ethel,2,2
Ethelsville,1,0
Ethete,1,0
Etna Green,0,1
Etowah,0,1
Ettrick,0,0
Eubank,2,0
Eucha,0,1
Euclid,13,11
Eudora,2,2
Eufaula,8,15
Eugene,15,22
Euless,9,2
Eunice,5,22
Eupora,1,1
Eureka,16,28
Eureka Springs,0,0
Eureka Township,0,0
Eustace,1,0
Eustis,7,7
Eutaw,4,6
Eutaw (Union),0,5
Eutawville,6,4
Evans,8,3
Evans Mills,1,0
Evansdale,0,0
Evansdale (Elk Run Heights),1,0
Evanston,8,31
Evansville,42,124
Evansville (Darmstadt),1,2
Evansville (Mccutchanville),0,0
Evarts,0,0
Eveleth,0,1
Evendale,0,0
Everett,23,56
Everglades City,0,0
Evergreen,0,1
Evergreen Park,1,1
Everson,3,1
Evesham Township,0,0
Ewa Beach,0,1
Ewing,0,2
Ewing Township,0,0
Excelsior (Greenwood),5,0
Excelsior (Minnetrista),0,0
Excelsior Springs,2,0
Excursion Inlet,1,0
Exeter,5,3
Exeter (Brentwood),2,0
Exeter (Kensington),0,0
Exmore,2,4
Export,0,1
Exton,2,0
Fabens,2,0
Factoryville,2,0
Fair Bluff,1,1
Fair Grove,2,0
Fair Haven,1,2
Fair Lawn,3,0
Fair Oaks,4,1
Fairbanks,36,32
Fairborn,3,6
Fairborn (Beavercreek),0,2
Fairburn,7,7
Fairchance,2,4
Fairdale,0,0
Fairdealing,3,0
Fairfax,7,11
Fairfax County,0,0
Fairfax Station,0,0
Fairfield,63,84
Fairfield County,1,0
Fairhaven,0,0
Fairhope,2,2
Fairland,1,0
Fairlawn,0,1
Fairlea,1,0
Fairmont,14,15
Fairmont (White Hall),1,0
Fairmount,0,1
Fairport,2,0
Fairview,7,2
Fairview Heights,5,5
Faith,2,0
Falcon,1,0
Falconer,0,1
Falfurrias,1,1
Falkland,0,1
Falkner,1,0
Falkville,0,2
Fall Branch,0,0
Fall Creek,1,0
Fall River,6,35
Fallbrook,1,1
Fallbrook (Rainbow),0,0
Falling Waters,0,0
Fallon,2,0
Falls,1,0
Falls Church,5,8
Falls Church (Baileys Crossroads),0,1
Falls City,1,0
Falls Of Rough,0,0
Falls Of Rough (Falls of Rough),0,0
Fallsburg,1,0
Fallston,2,0
Falmouth,1,4
Falun,1,0
Fancy Farm,0,0
Fannettsburg,0,0
Fannin,0,1
Fanning Springs,0,1
Fanwood,0,0
Far Rockaway,5,10
Far Rockaway (Rockaway Beach),0,0
Farber,0,1
Fargo,6,10
Faribault,4,1
Farmdale,1,0
Farmersburg,0,1
Farmersville,4,3
Farmerville,1,3
Farmerville (Rocky Branch),1,0
Farmingdale,0,3
Farmington,13,33
Farmington (Chesterville),0,0
Farmington (Farmington Hills),2,2
Farmington (Industry),0,0
Farmington Hills,0,1
Farmville,2,9
Farrell,0,0
Farwell,0,0
Faucett,0,1
Faulkner,0,4
Faulkner County,2,1
Fauquier,1,0
Fauquier County,1,0
Fawn Grove,2,0
Fayette,5,4
Fayette County,2,0
Fayetteville,128,266
Fayetteville (Beckwith),0,1
Fayetteville (Eastover),2,0
Feasterville Trevose,0,0
Feasterville Trevose (Feasterville-Trevose),0,1
Federal Heights,1,3
Federal Way,29,27
Federalsburg,0,0
Fedscreek (Biggs),0,1
Fellsmere,0,2
Felton,1,2
Feltonville,0,1
Fenton,6,5
Fenwick,2,0
Fergus Falls,4,1
Ferguson,5,20
Fern Park,0,1
Fernandina Beach,7,6
Fernandina Beach (Amelia Island),1,0
Fernandina Beach (Amelia Village),0,0
Ferndale,1,7
Fernley,1,7
Fernwood,0,1
Ferriday,0,4
Ferris,1,2
Ferrisburgh,0,0
Ferrum,0,2
Fertile,0,0
Festus,1,5
Fieldale,1,1
Fieldbrook,2,0
Fife,0,0
Fife Lake,1,0
Fifty Lakes,0,1
Filer,0,0
Fillmore,3,4
Findlay,9,4
Finland,0,0
Finley,1,1
Finney,0,1
Firebaugh,1,0
Fisher,0,1
Fishers,2,3
Fishersville,3,0
Fishkill,1,0
Fitchburg,5,18
Fitzgerald,4,2
Five Points,1,1
Flagler,0,2
Flagler Beach,2,0
Flagler County,1,0
Flagstaff,15,11
Flanders,1,0
Flanders (Roxbury Township),0,0
Flat Lick,0,0
Flat Rock,2,0
Flathead,0,3
Flathead County,0,1
Flathead Reservation,0,0
Flatwoods,3,1
Fleetwood,0,1
Fleming,2,0
Fleming Island,0,0
Flemington,2,0
Fletcher,1,2
Flint,166,376
Flintstone,0,0
Flippin,0,0
Flomaton,4,0
Flomaton (Pollard),1,0
Flora,1,1
Flora Vista,0,1
Floral City,1,3
Florala,2,1
Florence,49,117
Florence (Saint Florian),0,2
Florence (Williamsburg),0,1
Florence County,0,4
Floresville,1,2
Florham Park,0,0
Florida,0,1
Florida City,2,3
Florien,0,0
Florissant,24,21
Flossmoor,1,0
Flour Bluff,4,1
Flower Mound,1,3
Flowery Branch,2,1
Flowood,0,1
Floyd,3,2
Floyd County,2,0
Floyds Knobs,1,0
Flushing,4,11
Fluvanna,0,2
Folcroft,0,1
Foley,4,3
Folkston,2,0
Follansbee,1,0
Follett,1,0
Folly Beach,0,2
Folsom,3,1
Fond Du Lac,5,2
Fond Du Lac (North Fond Du Lac),0,0
Fontaine,1,0
Fontana,25,17
Foosland,0,0
Ford City,0,1
Ford Heights,7,0
Fordland,4,0
Fordsville,1,0
Foreman,1,0
Forest,5,5
Forest Acres,1,0
Forest City,3,5
Forest Grove,0,1
Forest Hill,0,1
Forest Hills,0,1
Forest Lake,1,1
Forest Lakes,1,0
Forest Park,13,7
Forestbrook,0,0
Forestburgh,0,0
Forestdale,0,1
Foresthill,0,0
Foreston,0,0
Forestville,4,1
Foristell,2,0
Forked River (Lacey),0,0
Forkland,1,0
Forks,0,0
Forney,2,1
Forrest,1,1
Forrest City,12,22
Forrest County,1,1
Forsyth,7,12
Forsyth County,5,1
Fort Ann,0,0
Fort Atkinson,2,0
Fort Belvoir,0,0
Fort Bend,6,4
Fort Bend County,5,4
Fort Benning,1,0
Fort Berthold,0,0
Fort Bliss,0,1
Fort Bragg,4,1
Fort Calhoun,0,3
Fort Campbell,1,0
Fort Carson,0,0
Fort Cobb,1,0
Fort Collins,16,19
Fort Defiance,1,0
Fort Deposit,0,0
Fort Dodge,3,13
Fort Drum,0,1
Fort Duchesne,4,3
Fort Edward,0,0
Fort Edward (Moreau),0,2
Fort Fairfield,0,0
Fort Gaines,2,0
Fort Gay,0,1
Fort George G Meade (Fort Meade),1,1
Fort Gibson,2,1
Fort Hall,0,1
Fort Hood,10,17
Fort Indiantown Gap,0,0
Fort Kent,0,0
Fort Lauderdale,60,77
Fort Lauderdale (Cooper City),1,0
Fort Lauderdale (Dania Beach),6,12
Fort Lauderdale (Davie),5,11
Fort Lauderdale (Ft Lauderdale),0,0
Fort Lauderdale (Lauderdale By The Sea),1,1
Fort Lauderdale (Lauderdale Lakes),4,6
Fort Lauderdale (Lauderhill),31,31
Fort Lauderdale (Miami Dade),1,2
Fort Lauderdale (Oakland Park),7,11
Fort Lauderdale (Southwest Ranches),0,0
Fort Lauderdale (Sunrise),13,8
Fort Lauderdale (Tamarac),7,6
Fort Lauderdale (Weston),0,3
Fort Lauderdale (Wilton Manors),0,1
Fort Lawn,1,2
Fort Lee,1,1
Fort Littleton,3,0
Fort Lupton,0,2
Fort Madison,3,1
Fort Mc Coy,1,1
Fort Mc Coy (Fort McCoy),0,6
Fort McCoy,1,0
Fort Meade,1,1
Fort Mill,4,6
Fort Mill (Indian Land),1,1
Fort Mill (Tega Cay),0,1
Fort Mitchell,5,4
Fort Mohave,4,4
Fort Morgan,0,1
Fort Myer,0,0
Fort Myers,87,187
Fort Myers (San Carlos Park),2,0
Fort Myers (Tice),0,0
Fort Myers Beach,1,2
Fort Payne,2,3
Fort Peck,1,0
Fort Pierce,43,98
Fort Pierce (Hutchinson Island),0,0
Fort Recovery,0,0
Fort Riley,2,0
Fort Ripley,0,0
Fort Sanders,0,3
Fort Scott,0,0
Fort Sill,0,1
Fort Smith,19,32
Fort Smith (Bonanza),0,0
Fort Stewart,0,0
Fort Stockton,1,2
Fort Sumner,1,1
Fort Thomas,0,0
Fort Totten,1,0
Fort Towson,1,1
Fort Valley,5,19
Fort Wainwright,0,0
Fort Walton Beach,14,31
Fort Walton Beach (Okaloosa Island),1,5
Fort Washington,12,3
Fort Wayne,144,338
Fort White,1,1
Fort Worth,223,256
Fort Worth (Benbrook),2,1
Fort Worth (Blue Mound),0,1
Fort Worth (Edgecliff Village),1,0
Fort Worth (Everman),1,0
Fort Worth (Forest Hill),4,4
Fort Worth (River Oaks),1,0
Fort Worth (Saginaw),3,5
Fort Worth (Watauga),2,1
Fort Worth (White Settlement),2,0
Fort Wright,0,0
Fort Yates,1,0
Fortuna,4,1
Fortville,0,0
Foss,1,0
Fosston,0,1
Foster,0,1
Fostoria,2,6
Fouke,1,1
Fountain,13,8
Fountain City,2,0
Fountain Green,0,0
Fountain Hills,2,3
Fountain Inn,3,2
Fountain Valley,2,4
Four Oaks,1,5
Fourmile,0,0
Fowler,1,2
Fox,0,0
Fox Lake,2,1
Foxboro,2,0
Foxboro (Foxborough),0,0
Foxhome,0,1
Foxworth,2,2
Foyil,0,0
Frackville,1,2
Frametown,1,0
Framingham,2,10
Francesville,1,0
Francis,0,1
Frankenmuth,0,0
Frankford,0,2
Frankfort,12,20
Franklin,34,51
Franklin (Beverly Hills),2,0
Franklin (Carlisle),1,0
Franklin (Union),1,0
Franklin (Watauga),0,1
Franklin County,3,4
Franklin Furnace,1,0
Franklin Lakes,0,1
Franklin Parish,0,0
Franklin Park,0,1
Franklin Square,0,1
Franklin Township,0,2
Franklinton,7,7
Franklinville,0,4
Franksville,0,0
Franktown,0,0
Fraser,1,0
Frayser,2,3
Frazee,0,1
Frazer,1,1
Frazeysburg,1,0
Frazier Park,0,0
Frederica,1,2
Frederick,4,25
Frederick County,1,0
Fredericksburg,12,14
Fredericksburg (Enon),2,0
Frederickson,1,0
Fredericktown,0,0
Fredonia,3,4
Freeburg,0,0
Freeburn,0,0
Freedom,0,4
Freehold,0,7
Freeland,2,2
Freeman Spur,0,0
Freeport,14,31
Freer,0,0
Freestone County,2,0
Freetown,0,0
Fremont,19,29
Fremont County,1,0
French Camp,0,0
French Lick,1,0
Frenchtown,0,0
Fresh Meadows,0,1
Fresno,177,549
Fresno (Calwa),1,2
Fresno (Malaga),0,1
Fresno County,1,0
Friday Harbor (San Juan Island),0,0
Fridley,1,1
Friendship,2,7
Friendswood,3,2
Friona,0,1
Fripp Island,0,0
Frisco,5,5
Fritch,1,1
Front Royal,1,0
Frostburg,0,2
Frostproof,0,1
Fruit Heights,0,0
Fruita,2,1
Fruitland,2,2
Fruitland Park,3,1
Fruitport Township,0,0
Fruitridge,1,1
Fruitvale,0,0
Fryeburg,2,1
Ft Mitchell (Edgewood),0,0
Ft Mitchell (Fort Mitchell),0,2
Fullerton,7,10
Fulton,5,19
Fulton (Granby),0,0
Fulton County,8,8
Fultondale,3,3
Fults,1,0
Funkstown,0,0
Funston,0,0
Fuquay Varina,9,7
Furman,0,1
Fyffe,1,2
Gable,0,0
Gadsden,18,31
Gadsden (East Gadsden),0,0
Gadsden (Glencoe),2,1
Gadsden (Hokes Bluff),2,0
Gaffney,15,25
Gafney,0,2
Gagetown,0,0
Gahanna,0,2
Gaines,0,3
Gainesville,42,93
Gaithersburg,9,4
Gaithersburg (Laytonsville),0,0
Gakona (Slana),1,0
Galax,1,1
Galena,2,1
Galesburg,5,7
Galesville,0,1
Galeton,0,0
Galivants Ferry,4,2
Gallatin,5,6
Gallatin County,0,0
Gallia,1,3
Gallia County,0,2
Galliano,0,0
Gallion,2,0
Gallipolis,0,1
Gallipolis Ferry,0,1
Gallitzin,1,0
Galloway,0,6
Gallup,4,1
Galt,2,7
Galveston,17,19
Galveston County,1,0
Gamaliel,0,1
Gambell,1,0
Gambrills,1,0
Ganado,1,0
Gandeeville,1,2
Garberville,1,2
Garden City,9,14
Garden City (Hidden Springs),0,1
Garden Creek,0,1
Garden Grove,6,24
Garden Valley,2,0
Gardena,14,18
Gardendale,5,0
Gardiner,2,2
Gardiner (West Gardiner),1,0
Gardner,1,5
Gardnerville,2,1
Garfield,9,7
Garfield County,0,1
Garfield Heights,2,1
Garland,33,22
Garland County,0,0
Garner,4,5
Garrard,0,0
Garrard County,0,0
Garretson,0,0
Garrett,1,1
Garrison,0,1
Garrisonville,0,0
Gary,172,323
Garysburg,2,3
Garyville,2,0
Garza County,0,0
Gasconade,0,1
Gasport,0,0
Gaston,18,11
Gaston County,0,2
Gastonia,24,35
Gastonia (Ranlo),0,0
Gate City,0,0
Gates,3,6
Gates Mills,0,0
Gatesville,3,2
Gateway,0,0
Gatlinburg,0,0
Gattman,0,1
Gautier,5,6
Gaylesville,1,2
Gaylord,0,1
Gays Mills,1,0
Geary,0,2
Geddes,6,0
Geismar,1,0
Gem County,1,0
Genesee,2,3
Genesee County,0,0
Geneseo,5,0
Genessee,0,0
Geneva,8,8
Geneva Township,0,0
Genoa,2,0
Genoa Township,1,0
Gentry County,1,0
George,1,2
George County,1,2
George West,2,1
Georges Mills,0,1
Georgetown,14,40
Georgetown County,1,0
Georgiana,0,0
Gerber,5,1
Gering,0,0
Germantown,11,13
Gerrardstown,1,0
Gerry,0,0
Gettysburg,2,3
Geyserville,1,0
Ghent,0,1
Gibbon,1,0
Gibson,7,3
Gibson County,1,0
Gibsonburg,2,0
Gibsonia,0,3
Gibsonton,3,1
Gibsonville,4,1
Gig Harbor,0,0
Gig Harbor (Key Center),0,0
Gila Bend,3,3
Gilbert,13,14
Gilbertsville,0,0
Gilbertsville (New Hanover Twp),0,1
Gilchrist County,0,1
Giles County,0,0
Gilford,0,1
Gill,0,0
Gillett,4,0
Gillette,3,2
Gillisonville,0,0
Gilman,0,1
Gilmanton,0,0
Gilmer,2,0
Gilpin,0,0
Gilroy,4,3
Girard,3,6
Girardville,0,1
Girdwood,0,0
Givhans,1,0
Glacier County,0,1
Glacier National Park,0,0
Glade Spring,6,4
Gladewater,4,4
Gladstone,4,3
Gladwin,2,3
Gladys,2,0
Glasford,1,0
Glasgow,2,14
Glassboro,1,2
Glastonbury,1,0
Gleason,0,1
Glen Allen,1,2
Glen Arm,0,1
Glen Burnie,8,20
Glen Campbell,0,1
Glen Carbon,3,1
Glen Cove,1,3
Glen Easton,0,0
Glen Ellen,0,0
Glen Ellyn,0,1
Glen Flora,1,0
Glen Ivy,0,1
Glen Jean,0,2
Glen Lyn,0,0
Glen Lyon,0,0
Glen Mills,0,0
Glen Morgan,0,1
Glen Rock,1,0
Glen Rose,1,0
Glen Saint Mary,2,0
Glen Saint Mary (Glen St Mary),1,1
Glen White,0,1
Glenallen (Lorance Township),2,1
Glenarden,2,0
Glencoe,2,0
Glendale,82,65
Glendale Heights,3,1
Glendive,1,0
Glendora,1,1
Glenmont,0,1
Glenmora,1,0
Glenmora (Calcasieu),0,0
Glenn Dale,2,0
Glennallen,0,0
Glennville,1,2
Glenolden,4,5
Glenolden (Darby Township),0,0
Glenoma,0,0
Glenpool,0,1
Glenrock,1,1
Glenrock (Rolling Hills),0,0
Glens Falls,0,1
Glenside,0,0
Glenside (North Hills),0,1
Glenview,0,0
Glenville,0,1
Glenwood,2,4
Glenwood Springs,3,1
Glide,0,1
Globe,1,0
Glorieta,1,0
Gloster,1,0
Gloucester,3,3
Gloucester City,0,1
Gloucester City (Brooklawn),0,0
Gloucester City (Gloucester),0,0
Gloucester County,0,0
Gloucester Courthouse,0,0
Gloucester Point,2,0
Gloucester Township,0,1
Gloversville,1,1
Glyndon,0,1
Glynn County,0,1
Goddard,0,0
Godfrey,0,2
Godley,0,1
Goffstown,1,2
Golconda,0,0
Gold Beach,0,1
Gold Hill,0,1
Golden,4,2
Golden Gate,0,2
Golden Meadow,0,0
Golden Valley,4,6
Goldendale,2,0
Goldsboro,43,89
Goleta,2,0
Goleta (Isla Vista),4,8
Goliad,1,1
Gonzales,9,9
Goochland,2,0
Goodells,0,0
Goodells (Wales Township),0,2
Gooding,2,0
Goodland,0,0
Goodlettsville,4,8
Goodlettsville (Millersville),1,0
Goodman,2,2
Goodridge,1,0
Goodview,0,1
Goodwater,2,0
Goodyear,4,4
Goose Creek,15,22
Gordo,0,2
Gordon,2,0
Gordon County,0,0
Gordonsville,0,4
Gordonville,0,0
Gore,2,0
Gore Springs,0,2
Gorham,1,2
Goshen,8,14
Gosnell,0,1
Gosper,0,0
Gotha,2,0
Gothenburg,0,0
Gould,1,0
Gouldsboro,2,2
Gouldsboro (Thornhurst),0,0
Gouverneur,0,0
Government Camp,1,0
Gowanda,2,0
Gowen,2,1
Grabill,0,0
Gracemont,2,0
Graceville,0,1
Grady,1,2
Graff,1,0
Grafton,5,5
Graham,12,13
Graham County,0,1
Grain Valley,0,2
Grainger County,0,1
Grambling,2,2
Granada Hills,1,2
Granbury,0,1
Granby,1,1
Grand,0,0
Grand Bay,2,5
Grand Blanc,2,0
Grand Canyon (Grand Canyon National Park),1,0
Grand Coteau,0,1
Grand Forks,6,8
Grand Gorge,0,0
Grand Haven,0,0
Grand Island,4,3
Grand Isle,0,2
Grand Junction,15,21
Grand Junction (Fruitvale),1,0
Grand Lake Stream,0,0
Grand Marais,1,0
Grand Marsh,0,1
Grand Meadow,0,0
Grand Portage,1,0
Grand Prairie,17,12
Grand Rapids,47,216
Grand Rapids (East Grand Rapids),0,1
Grand Rapids (Kentwood),2,12
Grand Rapids (Walker),0,0
Grand Ridge,0,0
Grand Ronde,1,0
Grand Terrace,2,5
Grand Traverse,0,0
Grand Traverse County,1,0
Grandview,6,15
Grandville,0,1
Granger,3,4
Granite City,6,5
Granite City (Pontoon Beach),0,1
Granite Falls,7,4
Graniteville,4,14
Grannis,0,0
Grant,2,4
Grantham,0,0
Grants,2,1
Grants (San Mateo),1,0
Grants Pass,11,7
Grantsboro,1,0
Grantsville,0,1
Grantsville (Skull Valley),1,0
Grantville,5,4
Granville,2,1
Granville (Hebron),0,1
Granville (Tolland),0,1
Granville County,1,0
Grapeview,1,0
Grapeville,0,0
Grapevine,1,5
Grasonville,1,2
Grass Lake,0,1
Grass Valley,1,1
Grass Valley (Alta Sierra),2,0
Gratiot,0,1
Graves,0,0
Graves County,2,0
Gravette,0,1
